Jobtitle,City,Date,Company,Skills,Profesion,Education,Salary,Jobs,Candidates,Copy
['Data Engineer'],Online,11/10/2024,CMV Consultores,"['sql', 'aws', 'git', 'jenkins', 'scala', 'spark', 'python']",Analista Programador,GM,24000.0,1,9,2024/10/13
['Soporte Técnico N1'],Online,11/10/2024,CMV Consultores,"['sql', 'oracle', 'soporte', 'cobol', 'db2', 'ios', 'unix', 'jcl']",Soporte Técnico,GM,25500.0,1,30,2024/10/13
['Data Scientist with MLOps'],Online,11/10/2024,CAS TRAINING,"['sql', 'python', 'aws', 'azure', '.net', 'api', 'docker']",Big Data,Universidad,45000.0,1,3,2024/10/13
['Técnico/a de Soporte onsite'],Madrid,11/10/2024,Serem,['windows 10'],Soporte Técnico,ESO,no disponible,3,15,2024/10/13
['Desarrollador/a Senior Python - GenAI'],Madrid,11/10/2024,Arelance,"['python', 'aws', 'git', 'microservicios', 'api', 'docker', 'jenkins', 'cloud']",Analista Programador,GM,51000.0,1,2,2024/10/13
['Tester SQL ORACLE'],Online,11/10/2024,Tuyú Technology,"['oracle', 'uipath', 'java', 'selenium', 'testng', 'cucumber', 'sql', 'postgresql', 'git']",Tester,GM,22500.0,1,12,2024/10/13
['Data engineer'],Online,11/10/2024,CAS TRAINING,"['python', 'data', 'cloud', 'scala', 'spark']",Big Data,GM,31500.0,4,7,2024/10/13
['Big Data Architect'],Madrid,11/10/2024,CAS TRAINING,"['aws', 'azure', 'gcp', 'cloudera', 'cassandra', 'mongo db', 'databricks', 'elk', 'kafka', 'snowflake']",Arquitecto TIC,Otros titulos,45000.0,1,0,2024/10/13
['Programador/a fullstack'],Online,11/10/2024,CAS TRAINING,"['java', 'javascript', 'angular', 'microservicios', 'react']",Analista Programador,GM,34500.0,4,13,2024/10/13
['SAP FICO Consultant'],Barcelona,11/10/2024,Pertemps-it,['sap'],Consultor,No disponible,no disponible,1,0,2024/10/13
['Devops Engineer'],Madrid,11/10/2024,Page Personnel,['devops'],DevOps,No disponible,no disponible,1,1,2024/10/13
['Programador/a Backend Liferay'],Online,11/10/2024,Digital Talent Agency,"['java', 'liferay', 'dxp']",Programador,No disponible,no disponible,1,1,2024/10/13
['Técnico de Sistemas/Banca'],Online,11/10/2024,CAS TRAINING,"['ibm', 'cobol', 'jcl', 'db2', 'sql', 'oracle', 'unix', 'control m', 'service now']",Técnico de Sistemas,GS,no disponible,1,2,2024/10/13
['Desarrollador/a Java'],Online,11/10/2024,CAS TRAINING,"['java', 'spring', 'oracle', 'microservicios', 'api', 'microsoft', 'itil']",Analista Programador,GS,no disponible,1,3,2024/10/13
['Administrador/a Middleware'],Madrid,11/10/2024,CAS TRAINING,"['apache', 'tomcat', 'jboss', 'eap', 'iis', 'weblogic', 'wab', 'ansible', 'shellscript']",Administrador,GS,no disponible,1,2,2024/10/13
['Administrador/a N3 BBDD'],Madrid,11/10/2024,CAS TRAINING,"['san', 'nas', 'python', 'vmax']",Administrador,Universidad,33000.0,1,2,2024/10/13
['SOC Leader con Exp. en Ciberseguridad'],Malaga,11/10/2024,Serem,"['soc', 'ciberseguridad']",Ciberseguridad,GS,no disponible,1,1,2024/10/13
['Programador/a Python GenAI'],Madrid,11/10/2024,CAS TRAINING,"['python', 'aws', 'genai', 'git', '.net', 'microservicios', 'api', 'jenkins', 'cloud']",Analista Programador,Otros titulos,51000.0,1,0,2024/10/13
['Ingeniero/a de Software Java'],Online,11/10/2024,Krell Consulting & Training,"['java', 'sql', 'angular', 'spring', 'oracle', 'git', 'api', 'jira']",Programador,Universidad,no disponible,1,4,2024/10/13
['Analista migración Magnolia'],Online,11/10/2024,CAS TRAINING,"['magnolia', 'api']",Analista,GS,37500.0,1,1,2024/10/13
['Ingeniero/a Proyectos Electrónicos'],Valladolid,11/10/2024,GMV,"['electronica', 'altium', 'orcad']",Electrónica,No disponible,no disponible,1,0,2024/10/13
['Senior Data Engineer'],Online,11/10/2024,Krell Consulting & Training,"['sql', 'python', 'aws', 'data', 'scala']",Big Data,ESO,60000.0,1,1,2024/10/13
['Programador/a Big Data'],Online,11/10/2024,CAS TRAINING,"['scala', 'spark', 'hive', 'shell scripting', 'cloudera', 'databricks']",Big Data,Otros titulos,30000.0,1,1,2024/10/13
['PMO automatizacion pruebas Selenium'],Online,11/10/2024,Grupo NS,['selenium'],Jefe de Proyecto,GS,no disponible,1,4,2024/10/13
['Senior .net/Sitecore. Inglés'],Barcelona,11/10/2024,Grupo NS,"['.net', 'azure']",Programador,GS,no disponible,1,0,2024/10/13
['Arquitecto/a Salesforce'],Online,11/10/2024,CAS TRAINING,"['salesforce', 'aws', 'angular', 'azure', 'git', '.net', 'api', 'docker', 'jenkins']",Arquitecto TIC,Universidad,31500.0,1,0,2024/10/13
['Desarrollador/a APX Batch'],Online,11/10/2024,CAS TRAINING,"['java', 'spring', 'oracle', 'batch', 'apx']",Programador,Universidad,24000.0,1,0,2024/10/13
"['Fullstack (Java, Springboot, Angular, React)']",Online,11/10/2024,Grupo NS,"['java', 'angular', 'spring', 'react', 'hibernate', 'jpa']",Programador,GS,no disponible,1,9,2024/10/13
['Business Consultant (Data)'],Madrid,11/10/2024,Grupo NS,"['data', 'datalakes', 'datahubs']",Big Data,GS,no disponible,1,1,2024/10/13
['Technical Consulting SSO and IAM'],Madrid,11/10/2024,CAS TRAINING,"['project manager', 'sso', 'idm']",Consultor,Otros titulos,57000.0,1,1,2024/10/13
['Telecom Technical Lead ( Fluent English)'],Madrid,11/10/2024,CAS TRAINING,"['hld', 'lld', 'ran', 'kpi']",Jefe de Equipo,GS,40500.0,1,1,2024/10/13
['Analista de Seguridad Informática'],Madrid,11/10/2024,Inkoova,"['jira', 'ciberseguridad', 'microsoft']",Analista,GS,no disponible,1,14,2024/10/13
['Técnico/a Producto Sr. PLM.- Inglés'],Online,11/10/2024,CAS TRAINING,"['plm', '3d']",Jefe de Equipo,GS,43500.0,1,2,2024/10/13
['Profesionales AS400 - RPG con Inglés'],Online,11/10/2024,Grupo NS,"['rpg', 'as400', '.net']",Programador,GS,no disponible,1,6,2024/10/13
['Analista Programador/a  Cobol'],Online,11/10/2024,Grupo NS,"['sql', 'cobol', 'oracle', 'banca', 'pl1', 'medios de pago', 'cics', 'db2', 'unix', 'seguros', 'banca seguros']",Analista Programador,GS,no disponible,1,11,2024/10/13
['Project Manager'],Navarra,11/10/2024,UPTECH SENSING,"['project', 'gestion']",Jefe de Proyecto,Universidad,37500.0,1,1,2024/10/13
['Programador/a Node JS.DialogFlow CX Java'],Online,11/10/2024,CAS TRAINING,"['java', 'node.js', 'dialogflow']",Programador,GS,no disponible,1,2,2024/10/13
['Consultor/a SAP HCM'],Madrid,11/10/2024,CAS TRAINING,['sap'],Consultor,Otros titulos,34500.0,1,0,2024/10/13
['Programador/a AS400-Cobol'],Online,11/10/2024,CMV Consultores,"['cobol', 'db2', 'as/400']",Analista Programador,GM,39000.0,1,12,2024/10/13
['Programador/a Fullstack Java PL/SQL'],Online,11/10/2024,CAS TRAINING,"['java', 'sql', 'javascript', 'angular', 'spring', 'git', 'pl/sql']",Programador,GS,34500.0,1,5,2024/10/13
['QA tester - cucumber'],Barcelona,11/10/2024,CMV Consultores,"['agile', 'cucumber']",Tester,GM,no disponible,1,8,2024/10/13
['Consultor/a Senior Cobol'],Online,11/10/2024,CAS TRAINING,"['cobol', 'db2', 'cics']",Consultor,GS,no disponible,1,4,2024/10/13
['Administrador/a de sistemas'],Barcelona,11/10/2024,HAYS,"['vmware', 'veeam b']",Técnico de Sistemas,No disponible,no disponible,1,5,2024/10/13
['Responsable de Informática'],Barcelona,11/10/2024,Michael Page,"['sage 200', 'odoo', 'microsoft 365', 'power bi']",Soporte Técnico,No disponible,36000.0,1,8,2024/10/13
['Técnico/a IT'],Girona,11/10/2024,HAYS,"['windows', 'linux']",Soporte Técnico,No disponible,no disponible,1,3,2024/10/13
['Administrador de ciberseguridad'],Bizkaia,11/10/2024,CAS TRAINING,"['azure', 'ciberseguridad', 'active directory', 'microsoft']",Administrador,Otros titulos,37500.0,1,0,2024/10/13
['Analista Programador Laravel Full Stack'],Madrid,11/10/2024,People Experts,"['laravel', 'php', 'sql']",Analista Programador,GS,no disponible,1,13,2024/10/13
['Desarrolladores/as Java +11 Quarkus'],Online,11/10/2024,Digital Talent Agency,"['java', 'quarkus', 'docker']",Analista Programador,GS,33000.0,1,3,2024/10/13
['Team Lead SNOW'],Madrid,11/10/2024,HAYS,['servicenow'],Jefe de Equipo,No disponible,no disponible,1,0,2024/10/13
['Programador/a Oracle Forms y APEX (Remoto)'],Online,11/10/2024,Serem,"['oracle forms', 'oracle apex']",Analista Programador,ESO,28500.0,1,14,2024/10/13
['Director/a tecnología y digitalización'],Murcia,11/10/2024,Michael Page,"['sql', 'erp']",Jefe de Proyecto,No disponible,46500.0,1,4,2024/10/13
['Desarrollador/a AWS y Python (Freelance)'],Gipuzkoa,11/10/2024,HAYS,"['python', 'aws']",Programador,No disponible,no disponible,1,0,2024/10/13
['Director de IT'],Malaga,11/10/2024,Michael Page,['project manager'],Jefe de Proyecto,No disponible,no disponible,1,3,2024/10/13
['Administrador/a de Sistemas SAP BASIS'],Valencia,11/10/2024,HAYS,['sap'],Administrador,No disponible,no disponible,1,2,2024/10/13
['QA Automation. Java. Selenium'],Online,11/10/2024,Grupo NS,"['selenium', 'java', 'python', 'qa', 'tester', 'sdet', 'cucumber']",Tester,GS,no disponible,1,6,2024/10/13
['Desarrolladores/as Java Microservicios'],Online,11/10/2024,Digital Talent Agency,"['java', 'spring', 'microservicios', 'jenkins']",Analista Programador,GS,30000.0,3,24,2024/10/13
['Ingeniero de Software'],Online,11/10/2024,Krell Consulting & Training,"['aws', 'spark', 'scala', 'sql']",Analista Programador,GS,31500.0,1,1,2024/10/13
['Analista Funcional/Programador Cobol Tarjetas'],Online,11/10/2024,Grupo NS,['cobol'],Analista Programador,GS,no disponible,1,8,2024/10/13
['Programador/a Senior Frontend REACT/JAVA'],Online,11/10/2024,Grupo NS,"['java', 'react']",Programador,GS,no disponible,1,3,2024/10/13
['Programador Nodejs/DialogFlow CX'],Online,11/10/2024,Grupo NS,"['node.js', 'dialogflow']",Programador,GS,no disponible,1,3,2024/10/13
['Desarrollador/a Java ABSIS ¡Remoto!'],Online,11/10/2024,Digital Talent Agency,"['java', 'absis']",Analista Programador,GS,no disponible,1,3,2024/10/13
['Ingeniero/a Python y R'],Online,11/10/2024,Quental,"['python', 'r', 'data', 'machine learning', 'dl', 'big data']",Big Data,Universidad,21500.0,1,24,2024/10/13
['Coordinador de Proyectos Digitales'],Barcelona,11/10/2024,Inkoova,"['pmo', 'jira', 'trello', 'microsoft project', 'confluence']",Jefe de Proyecto,Universidad,no disponible,1,7,2024/10/13
['Técnico de QA'],Barcelona,11/10/2024,Inkoova,"['java', 'python', 'qa', 'jira', 'scrum', 'selenium']",Sistemas de Calidad,GS,no disponible,1,30,2024/10/13
['Administrador/a Middleware'],Madrid,11/10/2024,PSS,"['linux', 'windows', '.net', 'rest', 'windows server', 'lan', 'citrix', 'jboss']",Administrador,ESO,no disponible,1,14,2024/10/13
['Administrador/a Oracle'],Madrid,11/10/2024,CMV Consultores,"['oracle', 'java', 'sql', 'odi']",Base de Datos/DBA,GM,42000.0,1,18,2024/10/13
['Marketing Manager'],Barcelona,11/10/2024,Michael Page,['marketing'],Marketing,No disponible,33000.0,1,4,2024/10/13
['Técnico especialista almacenamiento'],Madrid,11/10/2024,Michael Page,"['san', 'nas']",Técnico de Sistemas,No disponible,43500.0,1,2,2024/10/13
['CRM Specialist'],Barcelona,11/10/2024,Michael Page,['marketing'],Marketing,No disponible,no disponible,1,1,2024/10/13
['Team Leader (Electric Battery Departmen'],Zaragoza,11/10/2024,Michael Page,['project manager'],Jefe de Proyecto,No disponible,51000.0,1,1,2024/10/13
['Jefe/a Comunicación & Marketing'],Barcelona,11/10/2024,Michael Page,['marketing'],Marketing,No disponible,no disponible,1,5,2024/10/13
['Jefe de Proyecto Desarrollo'],Madrid,11/10/2024,HAYS,"['agile', 'oracle', 'jira']",Jefe de Proyecto,No disponible,no disponible,1,10,2024/10/13
['QA Manual Senior'],Madrid,11/10/2024,HAYS,"['qa', 'azure']",Tester,No disponible,no disponible,1,6,2024/10/13
['Especialista de integración EDI'],Madrid,11/10/2024,HAYS,"['edi', 'xml', 'csv']",Ingenieros/Industria,No disponible,no disponible,1,1,2024/10/13
['QA Automation'],Valencia,11/10/2024,HAYS,"['qa', 'automatizacion']",Tester,No disponible,no disponible,1,0,2024/10/13
['Técnico/a de Sistemas con Exchange'],Valencia,11/10/2024,HAYS,['exchange'],Técnico de Sistemas,No disponible,no disponible,1,7,2024/10/13
['Android Developer (Compose)'],Barcelona,11/10/2024,Social You,"['android', 'compose', 'kotlin', 'java', 'rest', 'json', 'data parsing', 'ci/cd', 'jiram stash', 'git', 'nexus', 'jenkins', 'scrum', 'kanban']",Desarrollador Móvil,GS,40500.0,1,27,2024/10/13
['Técnico/a de Soporte'],Las Palmas De Gran Canaria,11/10/2024,LÃBERIT,"['soporte', 'microinformatica']",Soporte Técnico,GS,16500.0,1,6,2024/10/13
['Técnico microinformática'],Huelva,11/10/2024,Pulsia Technology,"['microinformatica', 'itil']",Soporte Técnico,GS,16000.0,1,73,2024/10/13
['Administrador/a Nagios'],Madrid,11/10/2024,Second Window,"['nagios', 'sharepoint']",Administrador,GS,no disponible,1,11,2024/10/13
['Programador Junior FullStack'],Salamanca,11/10/2024,Glifing,"['mysql', 'php', 'python', 'javascript', 'linux', 'aws', 'angular', 'git', 'html', 'css', 'jquery']",Programador,GS,no disponible,1,75,2024/10/13
['Analista Programador Java en Remoto'],Online,11/10/2024,LJ Selection,"['java', 'sql', 'spring', 'git', 'rest', 'mysql', 'vue.js', 'vaadin']",Analista Programador,Otros titulos,no disponible,2,12,2024/10/13
['Analista de Sistemas'],Madrid,11/10/2024,Serbyte Servicios IT,"['hl7', 'itil']",Analista,No disponible,45000.0,1,11,2024/10/13
['Analytics Engineer'],Online,11/10/2024,Semrush,"['data', 'sql']",Big Data,No disponible,no disponible,1,7,2024/10/13
['Ingeniero/a del dato'],Madrid,11/10/2024,Serbyte Servicios IT,"['etl', 'sql']",Big Data,No disponible,no disponible,1,8,2024/10/13
['Desarrollador/a Java'],Madrid,11/10/2024,Serbyte Servicios IT,['java'],Programador,No disponible,no disponible,1,23,2024/10/13
['Consultor SAP'],Zaragoza,11/10/2024,Serbyte Servicios IT,['sap'],Consultor,No disponible,no disponible,1,0,2024/10/13
['Técnico informático'],Badajoz,11/10/2024,MEGA CONFORT,"['canva', 'photoshop', 'seo', 'sem']",Marketing,No disponible,16.200000000000003,1,8,2024/10/13
"['Data Analyst, Marketing']",Online,11/10/2024,Semrush,"['tableau', 'looker', 'power bi', 'sql']",Big Data,No disponible,no disponible,1,20,2024/10/13
['QA Engineer (Iris Team)'],Online,11/10/2024,Semrush,"['qa', 'go', 'java', 'javascript']",Tester,No disponible,no disponible,1,8,2024/10/13
['DevOps Engineer Sr'],Madrid,11/10/2024,BAUFEST,"['ansible', 'ci/cd', 'aws']",DevOps,No disponible,no disponible,1,2,2024/10/13
['Java Developer (Solar Team)'],Barcelona,11/10/2024,Semrush,['java'],Programador,No disponible,no disponible,1,2,2024/10/13
['Consultor/a Gestión proyectos TIC'],A Coruna,11/10/2024,Serem,['pmp'],Consultor,Universidad,25500.0,1,11,2024/10/13
['TÃ©cnico/a de Campo'],A Coruna,11/10/2024,FutuRS,"['microinformatica', 'windows']",Helpdesk,No disponible,no disponible,1,28,2024/10/13
['Engineer (DevOps/ SPARK/ Kafka)/Inglés'],Online,11/10/2024,Krell Consulting & Training,"['kafka', 'spark', 'devops']",DevOps,GM,no disponible,1,14,2024/10/13
['Programador/a de APPs Mobile'],Barcelona,11/10/2024,HAYS,"['swift', 'react native']",Desarrollador Móvil,No disponible,no disponible,1,3,2024/10/13
['Cybersecurity Arquitect (h/m/d)'],Online,11/10/2024,Michael Page,['ciberseguridad'],Ciberseguridad,No disponible,54000.0,1,2,2024/10/13
['Desarrollador/a Delphi'],Madrid,11/10/2024,HAYS,['delphi'],Programador,No disponible,no disponible,1,9,2024/10/13
['Responsable Marketing Digital'],Zaragoza,11/10/2024,Michael Page,"['marketing', 'html', 'css']",Marketing,No disponible,no disponible,1,5,2024/10/13
['Programador/a Node'],Barcelona,11/10/2024,HAYS,"['node.js', 'typescript']",Programador,No disponible,no disponible,1,4,2024/10/13
['Responsable de Ciberseguridad'],Madrid,11/10/2024,Michael Page,"['ciberseguridad', 'cissp', 'cism']",Ciberseguridad,No disponible,66000.0,1,8,2024/10/13
['Desarrollador Fullstack PHP'],Madrid,11/10/2024,Page Personnel,"['php', 'laravel']",Programador,No disponible,no disponible,1,16,2024/10/13
['Developer Microsoft 365'],Madrid,11/10/2024,HAYS,['dynamics 365'],Programador,No disponible,no disponible,1,3,2024/10/13
['Programador/a .NET + Inglés'],Valencia,11/10/2024,HAYS,['.net'],Programador,No disponible,no disponible,1,2,2024/10/13
['Full Stack Engineer (Node+React)'],Madrid,11/10/2024,HAYS,"['node.js', 'react']",Programador,No disponible,no disponible,1,8,2024/10/13
['.NET Software Engineer'],Madrid,11/10/2024,HAYS,"['.net', 'azure']",Programador,No disponible,no disponible,1,4,2024/10/13
['Tribe Lead'],Madrid,11/10/2024,HAYS,"['ci/cd', 'gcp', 'aws', 'azure']",Jefe de Proyecto,No disponible,83000.0,1,3,2024/10/13
['Ingeniero/a Electrónico/a'],Murcia,11/10/2024,HAYS,['electronica'],Electrónica,No disponible,no disponible,1,0,2024/10/13
['Desarrollador 3D/Unity'],Madrid,11/10/2024,HAYS,"['unity', 'c#']",Programador,No disponible,no disponible,1,12,2024/10/13
['IT Manager con experiencia en SAP'],Sevilla,11/10/2024,Michael Page,"['sap', 'hana']",Jefe de Proyecto,No disponible,54000.0,1,4,2024/10/13
['Tecnico/a Soporte N1'],Valencia,11/10/2024,HAYS,"['soporte', 'windows']",Soporte Técnico,No disponible,no disponible,1,28,2024/10/13
['Engineering Operations Technician'],Huesca,11/10/2024,Amazon Web Services,['aws'],Técnico de Sistemas,Universidad,no disponible,3,29,2024/10/13
['Analista funcional Mainframe'],Online,10/10/2024,Krell Consulting & Training,['mainframe'],Analista,ESO,no disponible,1,6,2024/10/13
['Arquitecto/a SAP BTP'],Online,10/10/2024,Grupo NS,['sap'],Arquitecto TIC,GS,52500.0,1,1,2024/10/13
['Técnico Sistemas Nivel 1 (Inglés C1)'],Online,10/10/2024,Krell Consulting & Training,"['sql', 'oracle', 'cobol', 'db2', 'unix', 'jcl']",Técnico de Sistemas,GM,27000.0,1,10,2024/10/13
['Técnico/a de Soporte'],Lleida,10/10/2024,HAYS,"['vpn', 'mysql']",Soporte Técnico,No disponible,no disponible,1,2,2024/10/13
['Consultor/a de ERP'],Valencia,10/10/2024,HAYS,['erp'],Consultor,No disponible,no disponible,1,11,2024/10/13
['Analista Base de Datos'],Cuenca,10/10/2024,HAYS,"['sql', 'azure']",Analista,No disponible,no disponible,1,1,2024/10/13
['Técnico Microinformática'],Malaga,10/10/2024,Pulsia Technology,['microinformatica'],Soporte Técnico,GS,16000.0,1,169,2024/10/13
['Desarrollador/a Java - Backend'],Online,10/10/2024,Arelance,"['java', 'spring', 'oracle', 'api', 'jira', 'kafka', 'openshift']",Analista Programador,GM,30000.0,2,44,2024/10/13
['Analista PowerBI'],Online,10/10/2024,Krell Consulting & Training,"['power bi', 'powerquery']",Analista Programador,GM,34500.0,1,21,2024/10/13
['Desarrollador .Net Senior'],Barcelona,10/10/2024,Michael Page,"['.net', 'sql']",Programador,No disponible,46500.0,1,4,2024/10/13
['Java developer'],Malaga,10/10/2024,Michael Page,['java'],Programador,No disponible,no disponible,1,11,2024/10/13
['Data Analyst'],Madrid,10/10/2024,Open Sistemas,"['datastage', 'sql', 'javascript']",Analista,Universidad,34500.0,1,44,2024/10/13
['Doctor en Ciberseguridad (h/m)'],Gipuzkoa,10/10/2024,Michael Page,"['ciberseguridad', 'ccnp']",Ciberseguridad,Doctorado,no disponible,1,2,2024/10/13
['.NET developer'],Valencia,10/10/2024,HAYS,"['.net', 'c#']",Programador,No disponible,no disponible,1,6,2024/10/13
['Data Analyst'],Madrid,10/10/2024,HAYS,"['sql', 'bigquery']",Big Data,No disponible,no disponible,1,8,2024/10/13
['Desarrollador/a WordPress'],Online,10/10/2024,HAYS,"['wordpress', 'php', 'html', 'css']",Desarrollador Web,No disponible,no disponible,1,97,2024/10/13
['Principal DevOps Engineer'],Malaga,10/10/2024,Michael Page,"['devops', 'ci/cd']",DevOps,No disponible,no disponible,1,1,2024/10/13
['Project Manager Java'],Madrid,10/10/2024,HAYS,['java'],Jefe de Proyecto,No disponible,no disponible,1,5,2024/10/13
['Perfil Full Stack (Node/React)'],Madrid,10/10/2024,HAYS,"['node.js', 'react']",Programador,No disponible,no disponible,1,9,2024/10/13
['Python Developer'],Malaga,10/10/2024,Michael Page,['python'],Programador,No disponible,no disponible,1,10,2024/10/13
['Tech Lead Java'],Madrid,10/10/2024,HAYS,['java'],Programador,No disponible,83000.0,1,2,2024/10/13
['Desarrollador/a PHP (Symfony)'],Online,10/10/2024,HAYS,"['php', 'symfony']",Programador,No disponible,no disponible,1,46,2024/10/13
['Data Engineer - ETL'],Online,10/10/2024,Michael Page,"['etl', 'data']",Big Data,No disponible,no disponible,1,17,2024/10/13
['Operador de Sistemas'],Barcelona,10/10/2024,PSS,"['sql', 'linux', 'aws', 'azure', 'windows', '.net', 'cloud', 'vmware']",Operador,GS,22500.0,2,10,2024/10/13
['Programador/a Junior SAS SQL'],Online,10/10/2024,Quental,"['sql', 'sas']",Big Data,Universidad,21000.0,1,30,2024/10/13
['Desarrollador/a PHP'],Online,10/10/2024,Arelance,"['php', 'docker', 'laravel']",Desarrollador Web,GM,27000.0,1,59,2024/10/13
['Programador/a Dynamics 365'],Zaragoza,10/10/2024,Michael Page,"['dynamics 365', 'business central']",Programador,No disponible,no disponible,1,1,2024/10/13
['Desarrollador .Net'],Lugo,10/10/2024,HAYS,['.net'],Programador,No disponible,no disponible,1,3,2024/10/13
['Coordinador sistemas   inglés'],Madrid,10/10/2024,HAYS,"['linux', 'ad', 'adfs', 'azure', 'vmware']",Técnico de Sistemas,No disponible,no disponible,1,4,2024/10/13
['Ingeniero de automatización'],Barcelona,10/10/2024,Michael Page,"['plc', 'scada']",Ingenieros/Industria,No disponible,no disponible,1,3,2024/10/13
['Formador/a IT'],Lleida,10/10/2024,HAYS,['formacion'],Formador,No disponible,no disponible,1,1,2024/10/13
['Ingeniero/a Junior'],Madrid,10/10/2024,HAYS,['ingenieria industrial'],Ingenieros/Industria,No disponible,no disponible,1,3,2024/10/13
['Area Manager Automatización'],Madrid,10/10/2024,HAYS,"['lean', 'electronica']",Comercial,No disponible,no disponible,1,2,2024/10/13
['Consultor/a ciberseguridad Junior'],Barcelona,10/10/2024,HAYS,['ciberseguridad'],Ciberseguridad,No disponible,no disponible,1,12,2024/10/13
['Arquitecto/a HOST funcional'],Madrid,10/10/2024,HAYS,"['host', 'cobol', 'db2', 'jcl']",Arquitecto TIC,No disponible,no disponible,1,2,2024/10/13
['Técnico TELECO (Red móvil)-Zona Norte'],Barcelona,10/10/2024,OFG,"['4g', '5g', 'ericsson', 'telco']",Ingenieros/Industria,GM,no disponible,5,28,2024/10/13
['Técnico de sistemas'],Madrid,10/10/2024,TICTPV,"['windows', 'soporte', 'redes', 'hardware', 'wifi']",Soporte Técnico,GM,no disponible,1,59,2024/10/13
['Analista funcional'],Online,10/10/2024,Serem,"['oracle', 'pl/sql', 'datalakes']",Analista,GS,no disponible,1,24,2024/10/13
['Técnico de campo Red Móvil'],Soria,10/10/2024,OFG,"['ericsson', '4g', '5g', 'telco', 'antenas', 'software', 'hardware']",Ingenieros/Industria,GM,no disponible,16,49,2024/10/13
['Programado/a Magento'],Valencia,10/10/2024,HAYS,"['magento', 'php']",Desarrollador Web,No disponible,no disponible,1,5,2024/10/13
['Programador/a .NET'],Valencia,10/10/2024,HAYS,['.net'],Programador,No disponible,no disponible,1,1,2024/10/13
['Perfil SEO'],Madrid,10/10/2024,HAYS,"['sistrix', 'semrush', 'screaming frog', 'google search console']",SEO/Posicionamiento Web,No disponible,no disponible,1,0,2024/10/13
['Ingeniero/a de procesos'],Gipuzkoa,10/10/2024,HAYS,"['solidedge', 'cnc']",Ingenieros/Industria,No disponible,no disponible,1,2,2024/10/13
['Desarrollador/a Odoo'],Online,10/10/2024,HAYS,['odoo'],Programador,No disponible,no disponible,1,10,2024/10/13
['Backend Developer'],Valencia,10/10/2024,HAYS,"['java', 'spring']",Programador,No disponible,no disponible,1,10,2024/10/13
['Técnico HelpDesk'],Salamanca,10/10/2024,Michael Page,['helpdesk'],Helpdesk,No disponible,22500.0,1,3,2024/10/13
['Administrador/a de Sistemas'],Valencia,10/10/2024,HAYS,"['windows', 'vmware']",Técnico de Sistemas,No disponible,no disponible,1,19,2024/10/13
['Ingeniero/a de ciberseguridad'],Madrid,10/10/2024,GMV,"['ciberseguridad', 'windows', 'linux']",Ciberseguridad,No disponible,no disponible,3,21,2024/10/13
['Consultor/a SAP (PP/MM)'],Valencia,10/10/2024,HAYS,['sap'],Consultor,No disponible,no disponible,1,3,2024/10/13
['C++ Developer Junior'],Alicante,10/10/2024,HAYS,"['c plus', 'python']",Programador,No disponible,no disponible,1,15,2024/10/13
['Programador/a Oracle (FORMS)'],Valencia,10/10/2024,HAYS,"['oracle', 'pl/sql']",Programador,No disponible,no disponible,1,4,2024/10/13
['ReactJS Developer con Inglés alto'],Murcia,10/10/2024,HAYS,"['react', 'redux', 'docker']",Programador,No disponible,no disponible,1,4,2024/10/13
['Arquitecto Java'],Madrid,10/10/2024,HAYS,"['java', 'spring']",Arquitecto TIC,No disponible,54000.0,1,6,2024/10/13
['Ingeniero/a de automatización'],Navarra,10/10/2024,HAYS,"['c', 'c plus', 'plc']",Electrónica,No disponible,no disponible,1,1,2024/10/13
['QA Tester'],Valencia,10/10/2024,HAYS,"['qa', 'testing']",Tester,No disponible,no disponible,1,11,2024/10/13
['Frontend Developer'],Online,10/10/2024,Start People,"['react', 'typescript', 'nextjs']",Programador,GS,33000.0,1,76,2024/10/13
['Programador/a .NET'],Online,10/10/2024,HAYS,"['.net', 'c#']",Programador,No disponible,no disponible,1,31,2024/10/13
['Desarrollador Java'],Madrid,10/10/2024,HAYS,"['java', 'spring']",Programador,No disponible,no disponible,1,7,2024/10/13
['Desarrollador/a .NET con Angular'],Gipuzkoa,09/10/2024,HAYS,"['.net', 'angular']",Programador,No disponible,no disponible,1,1,2024/10/13
['Web Manager'],Barcelona,09/10/2024,Michael Page,"['magento', 'excel', 'google sheets']",Marketing,No disponible,34500.0,1,9,2024/10/13
['AP Cobol Junior (Banca Gravity y PartenĂłn)'],Online,09/10/2024,Grupo Digital,"['cobol', 'gravity', 'partenon']",Analista Programador,No disponible,no disponible,1,12,2024/10/13
['Experienced Flutter Developer'],Barcelona,09/10/2024,HAYS,['flutter'],Desarrollador Móvil,No disponible,no disponible,1,6,2024/10/13
['Analista Programador/a Oracle PL/SQL'],Online,09/10/2024,Michael Page,"['java', 'oracle', 'pl/sql']",Analista Programador,No disponible,30000.0,1,25,2024/10/13
['HCM SAP ABAP Developer'],Barcelona,09/10/2024,HAYS,"['sap', 'abap', 'hana']",Programador,No disponible,no disponible,1,3,2024/10/13
['Data Engineer Freelance'],Online,09/10/2024,HAYS,"['python', 'sql']",Big Data,No disponible,no disponible,1,10,2024/10/13
['Analista programador ODOO'],Asturias,09/10/2024,HAYS,"['odoo', 'docker', 'javascript', 'postgresql']",Analista Programador,No disponible,no disponible,1,1,2024/10/13
